upper_state,lower_state,lower_freq,upper_freq
1 1 0,1 0 1,110812.85,110896.7
1 1 1,0 0 0,335446.53,335514.01
1 1 1,1 0 1,57674.76,67841.52
1 1 0,0 0 0 ,378500.42,388651.92
2 1 1,2 0 2,177819.69,177921.57
2 2 1,2 1 2,332190.51,332445.93
2 2 0,2 1 1,206971.86,207170.5
2 0 2,1 1 1,463628.59,463688.49
2 1 2,2 0 2,28560.9,38739.13
2 2 0,2 1 2,346353.43,356229.21
2 2 1,2 1 1,183188.33,193007.79
2 0 2,1 1 0,410490.71,420634.35
3 1 2,3 0 3,296477.08,296615.9
3 2 1,3 1 2,212246.87,212411.44
3 1 3,3 0 3,8283.92,18481.91
3 2 2,3 1 2,126597.39,136382.41
4 2 2 ,4 1 3,208027.2,268174.04
4 2 3,4 1 3,69581.6,79302.8
4 3 2,4 2 2,287464.75,296688.33
5 2 3,5 1 4,383352.88,383503.49
5 3 2,5 2 3,309716.3,309962.21
5 2 4,5 1 4,28677.86,38326.84
5 3 3,5 2 3,201911.78,211056.75
6 1 6,6 0 6,4860.2,5581.08
6 2 5,6 1 5,7801.38,17392.56
6 3 4,6 2 4,118504,127523.4
6 4 3,6 3 3,395212.3,403619.2
7 4 3,7 3 4,406603.01,406930.11
7 4 4 ,7 3 4,284517.65,292819.05
8 1 8,8 0 8,5364.03,5414.15
8 3 6,8 2 6,20608.77,29319.47
8 4 5,8 3 5,175855.75,183987.87
8 5 4,8 4 4 ,507611.69,515037.15
9 1 9,9 0 9 ,5494.98,5507.75
9 4 6,9 3 6,90438.6,98351.2
9 5 5 ,9 4 5,375035.49,382349.03
10 1 10,10 0 10,5631.97,5635.18
10 5 6,10 4 6,242328.17,249450.08
11 1 11,11 0 11,5786.44,5787.16
11 5 7,11 4 7,133334.86,140196.78
11 6 6,11 5 6,473978.33,480221.39
12 6 7 ,12 5 7,318728.36,324779.4
13 6 8,13 5 8,185718.28,191494.99
